,start_station_name,end_station_name,trips,start_lat,start_lng,end_lat,end_lng,merge_flag
6797,Washington St,South Waterfront Walkway - Sinatra Dr & 1 St,483,40.7242941,-74.0354826,40.73698221818716,-74.02778059244156,both
98,12 St & Sinatra Dr N,14 St Ferry - 14 St & Shipyard Ln,481,40.75060414236896,-74.02402013540268,40.75296063046496,-74.02435272932053,both
5008,Marin Light Rail,Newark Ave,481,40.71458403535893,-74.04281705617905,40.72152515,-74.046304543,both
6687,Warren St,Marin Light Rail,481,40.7211236,-74.03805095,40.71458403535893,-74.04281705617905,both
702,9 St HBLR - Jackson St & 8 St,11 St & Washington St,480,40.74790720968899,-74.03841152787209,40.74998490907138,-74.02715027332306,both
889,Adams St & 2 St,Columbus Park - Clinton St & 9 St,480,40.73981372311843,-74.03690412640572,40.74816121065146,-74.0324530005455,both
1722,Church Sq Park - 5 St & Park Ave,Grand St & 14 St,480,40.74265933273143,-74.03223305940628,40.75409,-74.0316,both
5097,Marshall St & 2 St,Marshall St & 2 St,480,40.740802,-74.042521,40.740802,-74.042521,both
5491,Newark Ave,Brunswick St,480,40.72152515,-74.046304543,40.7241765,-74.0506564,both
3181,Hamilton Park,Brunswick & 6th,479,40.727595966,-74.044247311,40.72601172964625,-74.05038893222809,both
4669,Madison St & 1 St,Madison St & 10 St,479,40.73879,-74.0393,40.74994325412246,-74.03586477041245,both
5700,Newport Pkwy,Hudson St & 4 St,478,40.7287448,-74.0321082,40.74097260864355,-74.02860336005688,both
4172,Jersey & 6th St,Manila & 1st,477,40.72528910781132,-74.04557168483734,40.72165072487999,-74.04288411140442,both
2970,Grand St & 14 St,Clinton St & 7 St,476,40.75409,-74.0316,40.74542,-74.03332,both
6759,Washington St,Harborside,476,40.7242941,-74.0354826,40.7192517,-74.034234,both
6856,Willow Ave & 12 St,Hudson St & 4 St,475,40.7518674823282,-74.03037697076797,40.74097260864355,-74.02860336005688,both
2989,Grand St & 14 St,Hudson St & 4 St,474,40.75409,-74.0316,40.74097260864355,-74.02860336005688,both
3871,Hudson St & 4 St,Willow Ave & 12 St,474,40.74097260864355,-74.02860336005688,40.7518674823282,-74.03037697076797,both
6074,Riverview Park,Hoboken Terminal - River St & Hudson Pl,473,40.7443187,-74.0439909,40.7360676564825,-74.02912706136703,both
4822,Mama Johnson Field - 4 St & Jackson St,Mama Johnson Field - 4 St & Jackson St,470,40.74313993965626,-74.04004096984863,40.74313993965626,-74.04004096984863,both
615,8 St & Washington St,12 St & Sinatra Dr N,469,40.74598388291562,-74.02819901704788,40.75060414236896,-74.02402013540268,both
1897,City Hall - Washington St & 1 St,Grand St & 14 St,469,40.73736,-74.03097,40.75409,-74.0316,both
1979,Clinton St & 7 St,Grand St & 14 St,469,40.74542,-74.03332,40.75409,-74.0316,both
4528,Liberty Light Rail,Van Vorst Park,469,40.7112423,-74.0557013,40.71848892,-74.047726625,both
253,14 St Ferry - 14 St & Shipyard Ln,Hoboken Terminal - Hudson St & Hudson Pl,468,40.75296063046496,-74.02435272932053,40.73593758446329,-74.03030455112457,both
4970,Marin Light Rail,Essex Light Rail,468,40.71458403535893,-74.04281705617905,40.7127742,-74.0364857,both
5527,Newark Ave,Liberty Light Rail,468,40.72152515,-74.046304543,40.7112423,-74.0557013,both
5010,Marin Light Rail,Newport Pkwy,467,40.71458403535893,-74.04281705617905,40.7287448,-74.0321082,both
5693,Newport Pkwy,Hamilton Park,467,40.7287448,-74.0321082,40.727595966,-74.044247311,both
